3	1	1
4.047	1	1
5.094	1	1
7.203	1	1
8.25	1	1
11.39	1	1
12.453	1	1
13.5	1	1
17.687	1	1
19.797	1	1
22.953	1	1
26.094	1	1
27.156	1	1
28.203	1	1
29.25	1	1
30.312	1	1
31.344	1	1
32.39	1	1
33.453	1	1
34.5	1	1
35.547	1	1
39.75	1	1
41.844	1	1
43.953	1	1
50.25	1	1
52.359	1	1
53.39	1	1
55.5	1	1
56.547	1	1
57.594	1	1
59.687	1	1
60.734	1	1
67.031	1	1
72.297	1	1
73.359	1	1
75.437	1	1
76.484	1	1
77.547	1	1
78.594	1	1
79.656	1	1
80.703	1	1
81.75	1	1
85.953	1	1
89.109	1	1
106.937	1	1
108	1	1
109.047	1	1
110.094	1	1
111.156	1	1
112.187	1	1
113.234	1	1
114.297	1	1
115.344	1	1
116.39	1	1
117.453	1	1
122.687	1	1
127.937	1	1
151.047	1	1
153.14	1	1
156.281	1	1
157.344	1	1
161.531	1	1
162.594	1	1
163.64	1	1
164.687	1	1
169.953	1	1
172.031	1	1
173.094	1	1
174.14	1	1
177.297	1	1
178.328	1	1
184.656	1	1
185.687	1	1
186.734	1	1
192	1	1
195.14	1	1
210.89	1	1
213	1	1
216.14	1	1
217.187	1	1
218.234	1	1
219.297	1	1
221.39	1	1
223.484	1	1
230.828	1	1
233.984	1	1
236.094	1	1
237.14	1	1
238.187	1	1
241.344	1	1
242.39	1	1
243.453	1	1
244.484	1	1
247.64	1	1
248.687	1	1
252.89	1	1
261.281	1	1
266.531	1	1
269.687	1	1
280.187	1	1
281.234	1	1
282.281	1	1
283.328	1	1
284.39	1	1
285.437	1	1
286.484	1	1
287.547	1	1
288.578	1	1
289.625	1	1
290.687	1	1
305.39	1	1
307.469	1	1
308.547	1	1
310.625	1	1
311.687	1	1
312.734	1	1
313.781	1	1
327.437	1	1
328.469	1	1
334.781	1	1
335.828	1	1
336.89	1	1
337.937	1	1
349.484	1	1
352.64	1	1
353.687	1	1
354.734	1	1
356.828	1	1
357.89	1	1
358.922	1	1
359.984	1	1
372.578	1	1
373.625	1	1
374.687	1	1
376.781	1	1
377.828	1	1
378.875	1	1
379.937	1	1
380.984	1	1
383.094	1	1
384.125	1	1
385.172	1	1
393.578	1	1
405.14	1	1
412.484	1	1
430.328	1	1
431.375	1	1
432.437	1	1
433.484	1	1
434.531	1	1
440.812	1	1
441.89	1	1
449.234	1	1
451.328	1	1
453.437	1	1
454.484	1	1
455.531	1	1
456.594	1	1
458.672	1	1
460.781	1	1
461.828	1	1
462.89	1	1
463.937	1	1
464.969	1	1
467.078	1	1
470.234	1	1
481.781	1	1
482.828	1	1
484.937	1	1
485.984	1	1
491.234	1	1
493.328	1	1
508.031	1	1
529.015	1	1
541.625	1	1
542.656	1	1
545.797	1	1
554.203	1	1
558.437	1	1
571.031	1	1
572.078	1	1
575.234	1	1
580.484	1	1
581.531	1	1
583.609	1	1
